pos_id,ivu_id,record_dto,position_latitude,position_longitude,record_number,record_cluster
12346,DAVID1,20/04/2024 1:52:00,37.76626,144.90245,2149674769,20/04/2024
12347,DAVID1,20/04/2024 1:52:30,37.76479,144.90111,2149674770,20/04/2024
12348,DAVID1,20/04/2024 1:53:00,37.76433,144.89845,2149674771,20/04/2024
12349,DAVID1,20/04/2024 1:53:30,37.7648,144.89568,2149674772,20/04/2024
12350,DAVID1,20/04/2024 1:54:00,37.76405,144.89345,2149674773,20/04/2024
12351,DAVID1,20/04/2024 1:54:30,37.76297,144.89133,2149674774,20/04/2024
12352,DAVID1,20/04/2024 1:55:00,37.76125,144.88951,2149674775,20/04/2024
12353,DAVID1,20/04/2024 1:55:30,37.75995,144.88939,2149674776,20/04/2024
12354,DAVID1,20/04/2024 1:56:00,37.75876,144.88959,2149674777,20/04/2024
12355,DAVID1,20/04/2024 1:56:30,37.75792,144.88974,2149674778,20/04/2024
12356,DAVID1,20/04/2024 1:57:00,37.75657,144.88997,2149674779,20/04/2024
12357,DAVID1,20/04/2024 1:57:30,37.75449,144.89034,2149674780,20/04/2024
12358,DAVID1,20/04/2024 1:58:00,37.75379,144.88762,2149674781,20/04/2024
12359,DAVID1,20/04/2024 1:58:30,37.75353,144.88597,2149674782,20/04/2024
12360,DAVID1,20/04/2024 1:59:00,37.75166,144.88648,2149674783,20/04/2024
12361,DAVID1,20/04/2024 1:59:30,37.74992,144.88681,2149674784,20/04/2024
12362,DAVID1,20/04/2024 2:00:30,37.74707,144.88734,2149674785,20/04/2024
12363,DAVID1,20/04/2024 2:01:00,37.74529,144.88789,2149674786,20/04/2024
12364,DAVID1,20/04/2024 2:01:30,37.7434,144.88821,2149674787,20/04/2024
12365,DAVID1,20/04/2024 2:02:00,37.74205,144.88738,2149674788,20/04/2024
12366,DAVID1,20/04/2024 2:02:30,37.74112,144.88579,2149674789,20/04/2024
12367,DAVID1,20/04/2024 2:03:00,37.73954,144.8864,2149674790,20/04/2024
12368,DAVID1,20/04/2024 2:03:30,37.73792,144.88667,2149674791,20/04/2024
12369,DAVID1,20/04/2024 2:04:00,37.73617,144.88698,2149674792,20/04/2024
12370,DAVID1,20/04/2024 2:05:00,37.73552,144.88783,2149674793,20/04/2024
12371,DAVID1,20/04/2024 2:05:30,37.73533,144.88908,2149674794,20/04/2024
12372,DAVID1,20/04/2024 2:06:00,37.73304,144.88951,2149674795,20/04/2024
12373,DAVID1,20/04/2024 2:06:30,37.73052,144.88994,2149674796,20/04/2024
12374,DAVID1,20/04/2024 2:07:00,37.72767,144.8904,2149674797,20/04/2024
12375,DAVID1,20/04/2024 2:07:30,37.72485,144.89085,2149674798,20/04/2024
12376,DAVID1,20/04/2024 2:08:00,37.72233,144.89127,2149674799,20/04/2024
12377,DAVID1,20/04/2024 2:08:30,37.71986,144.89168,2149674800,20/04/2024
12378,DAVID1,20/04/2024 2:09:00,37.71725,144.89204,2149674801,20/04/2024
12379,DAVID1,20/04/2024 2:09:30,37.71498,144.89119,2149674802,20/04/2024
12380,DAVID1,20/04/2024 2:10:30,37.71282,144.88965,2149674803,20/04/2024
12381,DAVID1,20/04/2024 2:11:00,37.71127,144.88869,2149674804,20/04/2024
12382,DAVID1,20/04/2024 2:12:00,37.71104,144.88854,2149674805,20/04/2024
12383,DAVID1,20/04/2024 2:12:30,37.70905,144.88721,2149674806,20/04/2024
12384,DAVID1,20/04/2024 2:13:00,37.70742,144.88594,2149674807,20/04/2024
12385,DAVID1,20/04/2024 2:13:30,37.70712,144.88571,2149674808,20/04/2024
12386,DAVID1,20/04/2024 2:14:00,37.705,144.88423,2149674809,20/04/2024
12387,DAVID1,20/04/2024 2:14:30,37.70296,144.88263,2149674810,20/04/2024
12388,DAVID1,20/04/2024 2:15:00,37.70068,144.88101,2149674811,20/04/2024
12389,DAVID1,20/04/2024 2:15:30,37.69951,144.88016,2149674812,20/04/2024
12390,DAVID1,20/04/2024 2:16:00,37.69673,144.88069,2149674813,20/04/2024
12391,DAVID1,20/04/2024 2:16:30,37.69432,144.8811,2149674814,20/04/2024
12392,DAVID1,20/04/2024 2:17:00,37.69183,144.88159,2149674815,20/04/2024
12393,DAVID1,20/04/2024 2:18:30,37.68959,144.88197,2149674816,20/04/2024
12394,DAVID1,20/04/2024 2:19:00,37.68695,144.88237,2149674817,20/04/2024
12395,DAVID1,20/04/2024 2:19:30,37.68475,144.88277,2149674818,20/04/2024
12396,DAVID1,20/04/2024 2:20:00,37.68303,144.8831,2149674819,20/04/2024
12397,DAVID1,20/04/2024 2:20:30,37.67991,144.88368,2149674820,20/04/2024
12398,DAVID1,20/04/2024 2:21:00,37.67569,144.88449,2149674821,20/04/2024
12399,DAVID1,20/04/2024 2:21:30,37.67289,144.88446,2149674822,20/04/2024
12400,DAVID1,20/04/2024 2:22:00,37.673,144.88197,2149674823,20/04/2024
12401,DAVID1,20/04/2024 2:22:30,37.67196,144.88184,2149674824,20/04/2024
12402,DAVID1,20/04/2024 2:23:00,37.67124,144.88254,2149674825,20/04/2024
12403,DAVID1,20/04/2024 2:23:30,37.67044,144.88422,2149674826,20/04/2024
12404,DAVID1,20/04/2024 2:24:00,37.66921,144.88535,2149674827,20/04/2024
12405,DAVID1,20/04/2024 2:24:30,37.66746,144.88525,2149674828,20/04/2024
12406,DAVID1,20/04/2024 2:25:00,37.66578,144.88493,2149674829,20/04/2024
12407,DAVID1,20/04/2024 2:25:30,37.66428,144.88466,2149674830,20/04/2024
12408,DAVID1,20/04/2024 2:26:00,37.66283,144.88443,2149674831,20/04/2024
12409,DAVID1,20/04/2024 2:35:30,37.66199,144.88426,2149674832,20/04/2024
12410,DAVID1,20/04/2024 2:36:00,37.6598,144.88391,2149674833,20/04/2024
12411,DAVID1,20/04/2024 2:36:30,37.65722,144.88274,2149674834,20/04/2024
12412,DAVID1,20/04/2024 2:37:00,37.65515,144.88173,2149674835,20/04/2024
12413,DAVID1,20/04/2024 2:37:30,37.65331,144.88063,2149674836,20/04/2024
12414,DAVID1,20/04/2024 2:38:00,37.65149,144.87955,2149674837,20/04/2024
12415,DAVID1,20/04/2024 2:38:30,37.64908,144.87923,2149674838,20/04/2024
12416,DAVID1,20/04/2024 2:39:00,37.64881,144.87663,2149674839,20/04/2024
12417,DAVID1,20/04/2024 2:39:30,37.64853,144.87451,2149674840,20/04/2024
12418,DAVID1,20/04/2024 2:40:00,37.64822,144.87212,2149674841,20/04/2024
12419,DAVID1,20/04/2024 2:40:30,37.64655,144.87045,2149674842,20/04/2024
12420,DAVID1,20/04/2024 2:41:00,37.64386,144.87093,2149674843,20/04/2024
12421,DAVID1,20/04/2024 2:41:30,37.64102,144.87152,2149674844,20/04/2024
12422,DAVID1,20/04/2024 2:42:00,37.6385,144.87116,2149674845,20/04/2024
12423,DAVID1,20/04/2024 2:42:30,37.63662,144.87125,2149674846,20/04/2024
12424,DAVID1,20/04/2024 2:45:00,37.63643,144.87112,2149674847,20/04/2024
12425,DAVID1,20/04/2024 2:45:30,37.63492,144.87164,2149674848,20/04/2024
12426,DAVID1,20/04/2024 2:46:00,37.63367,144.87093,2149674849,20/04/2024
12427,DAVID1,20/04/2024 2:46:30,37.63315,144.86667,2149674850,20/04/2024
12428,DAVID1,20/04/2024 2:47:00,37.63262,144.86275,2149674851,20/04/2024
12429,DAVID1,20/04/2024 2:47:30,37.63217,144.85951,2149674852,20/04/2024
12430,DAVID1,20/04/2024 2:48:00,37.63166,144.85556,2149674853,20/04/2024
12431,DAVID1,20/04/2024 2:48:30,37.63126,144.8519,2149674854,20/04/2024
12432,DAVID1,20/04/2024 2:49:00,37.63089,144.84839,2149674855,20/04/2024
12433,DAVID1,20/04/2024 2:49:30,37.63044,144.84444,2149674856,20/04/2024
12434,DAVID1,20/04/2024 2:50:00,37.63005,144.84093,2149674857,20/04/2024
12435,DAVID1,20/04/2024 2:50:30,37.62972,144.83788,2149674858,20/04/2024
12436,DAVID1,20/04/2024 2:51:00,37.62951,144.83551,2149674859,20/04/2024
12437,DAVID1,20/04/2024 2:51:30,37.62919,144.83263,2149674860,20/04/2024
12438,DAVID1,20/04/2024 2:52:00,37.62897,144.83054,2149674861,20/04/2024
12439,DAVID1,20/04/2024 2:52:30,37.6287,144.82814,2149674862,20/04/2024
12440,DAVID1,20/04/2024 2:53:00,37.62843,144.82562,2149674863,20/04/2024
12441,DAVID1,20/04/2024 2:53:30,37.62816,144.82315,2149674864,20/04/2024
12442,DAVID1,20/04/2024 2:54:00,37.6279,144.82091,2149674865,20/04/2024
12443,DAVID1,20/04/2024 2:54:30,37.62769,144.81856,2149674866,20/04/2024
12444,DAVID1,20/04/2024 2:55:00,37.62573,144.8187,2149674867,20/04/2024
12445,DAVID1,20/04/2024 2:55:30,37.62315,144.81914,2149674868,20/04/2024
